Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
2,square_of_air_temperature,K2,Air temperature squared,,t2,square_of_air_temperature,time: mean,,,longitude latitude alevel time,t2,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,20,8baf3f70-4a5b-11e6-9cd2-ac72891c3257,590d82de-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__t2,,
2,eastward_wind_times_northward_wind,m2 s-2,u*v,,uv,product_of_eastward_wind_and_northward_wind,time: mean,,,longitude latitude alevel time,uv,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,21,8baf4678-4a5b-11e6-9cd2-ac72891c3257,59137496-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__uv,,
2,eastward_wind_times_omega,Pa m s-2,u*omega,,uwap,product_of_eastward_wind_and_omega,time: mean,,,longitude latitude alevel time,uwap,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,22,8baf4bfa-4a5b-11e6-9cd2-ac72891c3257,591792ce-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__uwap,,
2,northward_wind_times_omega,Pa m s-2,v*omega,,vwap,product_of_northward_wind_and_omega,time: mean,,,longitude latitude alevel time,vwap,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,23,8baf5168-4a5b-11e6-9cd2-ac72891c3257,590ec446-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__vwap,,
2,air_temperature_times_eastward_wind,K m s-1,Product of air temperature and eastward wind,,ut,product_of_eastward_wind_and_air_temperature,time: mean,,,longitude latitude alevel time,ut,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,24,8baf56c2-4a5b-11e6-9cd2-ac72891c3257,5917841e-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__ut,,
2,air_temperature_times_northward_wind,K m s-1,Product of air temperature and northward wind,,vt,product_of_northward_wind_and_air_temperature,time: mean,,,longitude latitude alevel time,vt,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,25,8baf5c26-4a5b-11e6-9cd2-ac72891c3257,5914668a-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__vt,,
2,air_temperature_times_omega,K Pa s-1,Product of air temperature and pressure tendency,,twap,product_of_omega_and_air_temperature,time: mean,,,longitude latitude alevel time,twap,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,26,8baf62e8-4a5b-11e6-9cd2-ac72891c3257,590f753a-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-al-ti__twap,,
2,x_gravity_wave_drag_param,Pa,Parameterised x-component of gravity wave drag,,xgwdparam,atmosphere_eastward_stress_due_to_gravity_wave_drag,time: mean,,,longitude latitude alevel time,xgwdparam,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,27,8baf686a-4a5b-11e6-9cd2-ac72891c3257,591472f6-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-al-ti__xgwdparam,,
2,y_gravity_wave_drag_param,Pa,Parameterised y- component of gravity wave drag,,ygwdparam,atmosphere_northward_stress_due_to_gravity_wave_drag,time: mean,,,longitude latitude alevel time,ygwdparam,atmos,mon,area: areacella,HighResMIP [Amon_sparc],,28,8baf6dd8-4a5b-11e6-9cd2-ac72891c3257,59132e1e-9e49-11e5-803c-0d0b866b59f3,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-al-ti__ygwdparam,,
2,Column Integrated Mass Flux,kg m-1 s-1,Column integral of (mcu-mcd),Column integrated mass flux,columnmassflux,atmosphere_net_upward_convective_mass_flux,time: mean,,,longitude latitude time,columnmassflux,atmos,mon,area: areacella,HighResMIP [Amon_conv],,20,8baef7a4-4a5b-11e6-9cd2-ac72891c3257,590d8018-9e49-11e5-803c-0d0b866b59f3,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",,,,0,CHANGED: -999,,False,False,False,False,False,CHECK,,,
1,PARASOL Reflectance,1.0,Simulated reflectance from PARASOL as seen at the top of the atmosphere for 5 solar zenith angles. Valid only over ocean and for one viewing direction (viewing zenith angle of 30 degrees and relative azimuth angle 320 degrees).,PARASOL Reflectance ,parasolRefl,toa_bidirectional_reflectance,area: mean where sea time: mean,,real,longitude latitude sza5 time,parasolRefl,atmos,mon,area: areacella,cfMon ((isd.003)),cfMon_sim,71,8b8a56ec-4a5b-11e6-9cd2-ac72891c3257,a06b8e83250b870d9f39dc1f6534efcb,e9fa9724-c1ce-11e6-8067-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {sza5:} [tmean]","AerChemMIP,CFMIP,DAMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,HighResMIP,PMIP",,False,CHANGED: -3 (COSP),False,False,False,False,False,False,UM:1,lo-la-ti-sz__parasolRefl,m01s02i348,
